Company,Average_Return,20_day_MA,200_day_MA,Volatility_20,Momentum_30,Average_Volume,environmentScore,socialScore,governanceScore,totalEsg,esgPerformance,highestControversy,totalCurrentAssets,totalNonCurrentAssets,totalLiabilities,commonStockEquity,retainedEarnings,netDebt,tangibleBookValue
CME,0.0005862008552944141,216.621427154541,205.68213287353515,2.2557651039496873,0.056605101937801106,1933206.0,,,,,,,,,,26737900000.0,4455200000.0,513400000.0,-3982900000.0
CSCO,0.00018013706702662692,50.508000183105466,48.227875289916994,1.386496979371407,0.1630721846689629,19396804.0,,,,,,,,,,45457000000.0,1087000000.0,23454000000.0,-24422000000.0
DIS,0.0008661089349274245,91.06699981689454,100.34181564331055,2.394660658463694,0.10312854671797256,11054142.0,,,,,,,,,,99277000000.0,46093000000.0,32249000000.0,9149000000.0
ECL,0.0017964031706639658,250.4080436706543,225.98206153869629,3.1067074211820707,0.0704349488740228,1018376.0,,,,,,,,,,8044700000.0,10075400000.0,7262300000.0,-3597000000.0
ETN,0.001969354919606385,307.6205001831055,294.7655651092529,17.11112323200485,0.11639290191590645,2659680.0,,,,,,,,,,19036000000.0,10305000000.0,8781000000.0,-1033000000.0
FCX,0.0017119827706598722,43.63750019073486,44.83557415008545,3.0860361875577658,0.2386065386878662,12566828.0,,,,,,,,,,16693000000.0,-2059000000.0,4664000000.0,16271000000.0
GE,0.003119154072092859,175.83673782348632,145.08107288360597,9.934271988953592,0.10070494562891774,5153734.0,,,,,,,,,,27378000000.0,86527000000.0,3997000000.0,8298000000.0
GILD,0.0006557361639934944,81.2928695678711,72.21535861968994,2.3936684522150165,0.13051093516737478,6757938.0,,,,,,,,,,22833000000.0,16304000000.0,18902000000.0,-11935000000.0
GM,0.0016238218880550294,47.41506290435791,42.70362211227417,1.445287991449983,0.0530716196951333,14287988.0,,,,,,,,,,64286000000.0,55391000000.0,102888000000.0,59445000000.0
HON,0.000525923605399412,204.1179992675781,200.85441467285156,2.3946917441921713,0.053455421438288964,2724152.0,,,,,,,,,,15856000000.0,47979000000.0,12518000000.0,-5424000000.0
IBM,0.0020203123252995397,210.94199981689454,179.822197265625,7.987865917640071,0.1617615649271289,3724916.0,,,,,,,,,,22533000000.0,151276000000.0,43479000000.0,-48681000000.0
JPM,0.0016247602340162643,212.3230010986328,192.32867111206053,5.860383732502696,-0.0021880075240111596,8859252.0,,,,,,,,,,300474000000.0,332901000000.0,,236093000000.0
LLY,0.0022125674096437203,922.7855041503906,786.6203286743164,17.12931877740908,-0.022635909465021697,3351748.0,,,,,,,,,,10771900000.0,10312300000.0,22406700000.0,-1074400000.0
LMT,0.0015381121161608241,570.8388488769531,471.6253477478027,5.2446679160999015,0.030892822310586876,1068642.0,,,,,,,,,,6835000000.0,15398000000.0,16017000000.0,-6176000000.0
MCO,0.0017504348496088602,482.1404998779297,412.35547637939453,5.098764976383803,0.018758237681779866,803970.0,,,,,,,,,,,,,
MDLZ,0.0004000397175700958,74.35599937438965,70.13461406707764,1.304705089186918,0.04382026517290538,5980400.0,,,,,,,,,,28332000000.0,34236000000.0,17598000000.0,-15400000000.0
META,0.0028464473629330796,531.9646179199219,471.5125555419922,23.826859897582853,0.07901453583077478,14012648.0,,,,,,,,,,153168000000.0,82070000000.0,,131726000000.0
MMM,0.0026994094814698144,133.18200073242187,98.91005779266358,2.84039802772545,0.1111334026641162,4449600.0,,,,,,,,,,4807000000.0,37479000000.0,10102000000.0,-12346000000.0
MS,0.0012706197643572368,100.14599952697753,93.1791270828247,2.4730451595879117,0.05189054611855326,5989050.0,,,,,,,,,,90288000000.0,97996000000.0,217726000000.0,66526000000.0
